CNPJ BÁSICO,Nome Municip.,Nome Cnae,DDD 1,TELEFONE 1,DDD 2,TELEFONE 2,CAPITAL SOCIAL,PORTE DA EMPRESA,result
12472804,JUIZ DE FORA,SERVIÇOS ESPECIALIZADOS PARA CONSTRUÇÃO NÃO ESPECIFICADOS ANTERIORMENTE,32.0,32162467.0,,,"10000,00",1.0,
12473225,JUIZ DE FORA,OBRAS DE ALVENARIA,32.0,88077116.0,,,"1,00",1.0,
12668677,JUIZ DE FORA,SERVIÇOS ESPECIALIZADOS PARA CONSTRUÇÃO NÃO ESPECIFICADOS ANTERIORMENTE,32.0,32135234.0,,,"10000,00",1.0,
13148429,JUIZ DE FORA,ATIVIDADES DE ESTÉTICA E OUTROS SERVIÇOS DE CUIDADOS COM A BELEZA,32.0,32152559.0,32.0,88177525.0,"120000,00",1.0,
13761032,JUIZ DE FORA,OBRAS DE ALVENARIA,32.0,84649537,,,"1,00",1.0,
13892082,JUIZ DE FORA,OBRAS DE ALVENARIA,32.0,32775845,,,"1,00",1.0,
14055556,JUIZ DE FORA,CONSTRUÇÃO DE EDIFÍCIOS,32.0,32134982,32.0,32343385.0,"400000,00",1.0,
14166027,JUIZ DE FORA,ATIVIDADES DE ESTÉTICA E OUTROS SERVIÇOS DE CUIDADOS COM A BELEZA,32,88165951,,,"1,00",1.0,
14179673,JUIZ DE FORA,ATIVIDADES DE ESTÉTICA E OUTROS SERVIÇOS DE CUIDADOS COM A BELEZA,32,32222716,,,"1,00",1.0,
14525025,JUIZ DE FORA,ATIVIDADES DE ESTÉTICA E OUTROS SERVIÇOS DE CUIDADOS COM A BELEZA,32,41412248,,,"1,00",1.0,
14534799,JUIZ DE FORA,ATIVIDADES DE ESTÉTICA E OUTROS SERVIÇOS DE CUIDADOS COM A BELEZA,32,87029262,,,"1,00",1.0,
14939998,JUIZ DE FORA,CONSTRUÇÃO DE EDIFÍCIOS,32.0,32171228.0,,,"5000,00",1.0,
15119790,JUIZ DE FORA,CONSTRUÇÃO DE EDIFÍCIOS,32.0,32244822,,,"15000,00",1.0,
9050868,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,31.0,36146994,31.0,36146996,"10000,00",5.0,
9050868,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,31.0,36158000.0,,,"10000,00",5.0,
20445174,JUIZ DE FORA,ATIVIDADES DE ESTÉTICA E OUTROS SERVIÇOS DE CUIDADOS COM A BELEZA,32.0,87076059,,,"5000,00",1.0,
13502162,JUIZ DE FORA,ATIVIDADES DE ESTÉTICA E OUTROS SERVIÇOS DE CUIDADOS COM A BELEZA,32,88315741,,,"1,00",1.0,
15501140,JUIZ DE FORA,CONSTRUÇÃO DE EDIFÍCIOS,32.0,32157413.0,,,"560000,00",1.0,
15601033,JUIZ DE FORA,OBRAS DE ALVENARIA,32.0,32129622.0,,,"1,00",1.0,
15662694,JUIZ DE FORA,CONSTRUÇÃO DE EDIFÍCIOS,32.0,32153022.0,,,"30000,00",3.0,
16657787,JUIZ DE FORA,OBRAS DE ALVENARIA,32.0,32157004,,,"1,00",1.0,
16681661,JUIZ DE FORA,SERVIÇOS COMBINADOS DE ESCRITÓRIO E APOIO ADMINISTRATIVO,32.0,32126022,,,"30000,00",1.0,
16775301,JUIZ DE FORA,OBRAS DE ALVENARIA,32.0,32134692.0,,,"50000,00",1.0,
16895111,JUIZ DE FORA,CONSTRUÇÃO DE EDIFÍCIOS,32.0,32156383.0,,,"810000,00",1.0,
16909127,JUIZ DE FORA,OBRAS DE ALVENARIA,32.0,32142403.0,,,"1,00",1.0,
17118970,JUIZ DE FORA,SERVIÇOS COMBINADOS DE ESCRITÓRIO E APOIO ADMINISTRATIVO,32.0,91030591.0,,,"5000,00",1.0,
9611768,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,32371540.0,,,"87206313,34",5.0,
9611768,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,21016000.0,,,"87206313,34",5.0,
9611768,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32,21049554,,,"87206313,34",5.0,
9611768,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,21016000.0,,,"87206313,34",5.0,
9611768,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,21016000.0,,,"87206313,34",5.0,
9611768,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32,21049554,,,"87206313,34",5.0,
9611768,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,21049554,,,"87206313,34",5.0,
9611768,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,21016000,,,"87206313,34",5.0,
9611768,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,32371540.0,,,"87206313,34",5.0,
9611768,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,32371540.0,,,"87206313,34",5.0,
9611768,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,21016000.0,,,"87206313,34",5.0,
